Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
8, 8, green, 8, 5, -14, Go, red, 5, 4, -14, Go, white, 5, 9, -14, Exited, , 
8, 9, green, 9, 5, -16, Exited, red, 5, 5, -16, Go, ,,,,, , 
8, 10, ,,,,, red, 5, 6, -18, Go, ,,,,, , 
8, 11, ,,,,, red, 5, 7, -20, Go, ,,,,, , 
8, 12, ,,,,, red, 5, 8, -22, Go, ,,,,, , 
8, 13, ,,,,, red, 5, 9, -24, Exited, ,,,,, , 


9, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, , 
9, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, , 
9, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, , 
9, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, , 
9, 5, green, 4, 5, -8, Go, red, 5, 2, -8, Stop, white, 5, 6, -8, Go, , 
9, 6, green, 5, 5, -10, Go, red, 5, 2, -10, Stop, white, 5, 7, -10, Go, , 
9, 7, green, 6, 5, -12, Go, red, 5, 2, -12, Go, white, 5, 8, -12, Go, , 
9, 8, green, 7, 5, -14, Go, red, 5, 3, -14, Go, white, 5, 9, -14, Exited, , 
9, 9, green, 8, 5, -16, Go, red, 5, 4, -16, Go, ,,,,, , 
9, 10, green, 9, 5, -18, Exited, red, 5, 5, -18, Go, ,,,,, , 
9, 11, ,,,,, red, 5, 6, -20, Go, ,,,,, , 
9, 12, ,,,,, red, 5, 7, -22, Go, ,,,,, , 
9, 13, ,,,,, red, 5, 8, -24, Go, ,,,,, , 
9, 14, ,,,,, red, 5, 9, -26, Exited, ,,,,, , 


10, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, , 
10, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, , 
10, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, , 
10, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, , 
